Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces radingae																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																0.01534								0.07436																											0.08939																																																																																																																																				0.03882																																																												1.40194																																																																																												0.00358		1.37868																																																																																																							0.02407																																											0.28030													0.01837																		1.31460								0.07349		0.00590	
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. HMSC035G02																																																																	0.00471																																																																																																																																																																																																																																																																																																																																																																																																									0.00076																																																																																						0.05244																						0.00276																																																																																																																																																																																																																											0.02014																																																																																											0.00711														0.12546	0.11951	0.17939																																				0.00177	0.01112																																																																													0.00470															0.00370							0.02476																								0.00499	0.07916		0.02634												0.01859				0.15661											0.05687	0.04390	0.03272									0.01588					0.00379						0.17155	0.34649																						0.00268					0.07953											0.00499						
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. HPA0247																							0.00765																																			0.00749																																																	0.00272																																																																																																				0.02640																																												0.00650																																																																																																																																																																																																															0.00079																																																																																																																																																																																																									0.01549																																																																																																																														0.08740						0.00280																																															0.06886																																																		0.01054		0.00225																																								0.01205																																																																																																0.02346																				0.01769									0.00424		0.06962				0.00071						0.41459										0.00672											0.01317										0.00445	0.00289						0.36037				0.00507																	0.01413	0.10161					0.02791		0.00493															
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. ICM47																																																																																																																																																																				0.00770																								0.00887		0.00691				0.00650							0.00271															0.00202							0.00161																			0.00059			0.00113	0.00444																																																					0.02368																																																																	0.00104	0.00535									0.00248											0.00644																																																					0.00463								0.02554																																																																																																							0.00041																	0.00055													0.05462																																										0.00511																																								0.01016																																																																																																																																																																																																																								0.01168																																	0.03342																	0.00771	0.02679		0.06530	0.00557																																																																																						0.10145																		0.06399																		0.02300	0.03651																	0.00898									0.04003		0.01052				0.00365							0.03318					0.01880																																																			
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. S6_Spd3																																																																																																																																																																																																																																				0.00174																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											0.01776																																																																																																																																																																																																																																										0.02492																																				0.00435																																																																																																
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 181																																																																																																																																																																																																																					0.00659																																																																																																																																																																																																																																																																																																																																																																																								0.00035																																																																																																																																																																																																																																																																																																											0.01294																																																																		0.00539					0.04990	0.04607																																																																					0.04205																					0.04924			0.00836													0.00199	0.11140																0.03170	0.00792				0.25618					0.00235																0.00767			0.00083														0.00224			0.01235	0.00423																	0.04633		
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces turicensis																																																																																																																																																																																																																					0.00713																																																																								0.00378																																																																																																																																															0.02228																								0.00223																																																																																																																																																																																																																																																											0.00052																																																																																																		0.00915																																					0.05998															0.12926														3.80743																		0.03067		0.03482																																																																										0.04080																																																												0.00254																																					0.00367														0.11011					0.09009																														0.14311												0.03472																									0.03156					
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces urogenitalis																																																																																																																																																																																																															0.25127																																												0.07383				0.00326																																																																																																					0.01456																									0.00176	0.00060																																																																												0.21874																			0.02981																																																																																																																									1.81815																																																																																																																																																					0.00786																																																					0.15363																											0.20557																										0.01663			0.07212																																																																																														0.63840																																							0.03430																																													0.10816																								0.05689																											0.87739					0.06074				0.17396												0.00538							0.08519	0.25129					0.35922				0.01052																0.00299										
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;Actinotignum schaalii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.04053																																																																																																																																																																																																																																											0.00160																																																																																0.00357																																																																																																																																																																																																																																																																						
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;Actinotignum timonense																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.00085																																																																																																																																																																																																																																																																																																																				0.08751							0.00588																																																																																																																																																																																																																																																																						
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;Trueperella bernardiae																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										0.00535																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum cambriense																																																																																																																																																																																																																																																															0.00642																																												0.00096																																					0.01638																			0.04252							0.03678																																											0.03548																																																					0.02436																																																																																																																														0.01251																																																																																											0.04118																												0.00751																																																																																																																																																						0.00746	0.00687																																	0.51143																																													0.03105																						0.00064							0.07999																																																																																																																																	0.42741																							0.07717	0.17544																								0.01016			0.02278			0.24793		0.00076			
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia;Aeriscardovia aeriphila																					0.00936		0.00405																																			0.00326		0.00418	0.00274				0.01650					0.00999		0.01990																																		0.00360	0.01911			0.14785						0.01290																																									0.01276						0.00537																									0.00802		0.00337	0.00290							0.00304							0.00729	0.11679							0.00580	0.00390				0.05465		0.00968			0.03675				0.00302		0.01016					0.00421							0.01088		0.00531	0.04133	0.00902						0.00701				0.00492			0.00373					0.00875			0.00424					0.00351																		0.00252																																		0.00741					0.00604																												0.01345			0.01674		0.00349		0.00890	0.00964								0.00530									0.00317	0.00811		0.01264	0.02594				0.03729																																																							0.00781		0.02148			0.00777	0.01557	0.01558		0.01249					0.01974	0.00922			0.01811		0.02674				0.01167						0.02461	0.01159																0.02026																						0.00249														0.02708																						0.00384			0.03872	0.00942		0.01078			0.00384								0.00144				0.01105							0.03617			0.00243			0.01374						0.00240	0.03364									0.00785	0.00553		0.01445	0.00785	0.00626			0.00327						0.01158					0.01249			0.03203		0.01707		0.00982						0.01993																		0.00489	0.01963							0.00776								0.02226		0.06084																0.00475							0.01498							0.02383						0.02460																															0.03295	0.00724							0.00356	0.02771	0.01491			0.01488	0.06386																																	0.00479										0.00672									0.10381	0.00460						0.03134							0.00652	0.00671																					0.00821		0.06093					0.05357							0.00671			0.00735	0.01226										0.01722						0.03738							0.00738		0.03978	0.02143						0.00630	0.00742	0.03503		0.01871	0.00300	0.00560	0.00893		0.00268	0.06161			0.01546	0.00411								0.00942		0.01800							0.01208					0.01799					0.02841	0.04736	0.02466	0.04327	0.00576	0.01585			0.00221						0.00969	0.01306	0.00335			0.00585													0.00293								0.02946	0.02772														0.00545																				0.02621			0.03733	0.02712						0.00639	0.00611	0.02184							0.01475	0.04852	0.02828	0.02467	0.01844			0.00982	0.01089		0.02262				0.04873		0.01122			0.07334	0.00648					0.03960	0.01457	0.00524				0.01887	0.00966	0.01647		0.05253		0.05188	0.02469		0.00695	0.00827	0.01129		0.08124	0.03188				0.02049	0.01317			0.00820	0.01154	0.01557	0.00437	0.00655				0.00570	0.03936	0.03654	0.03334	0.01432		0.01717	0.05425	0.03326			0.00557	0.04014			0.01369	0.06440				0.05074		0.05164	0.03351		0.00665		0.05266							0.00908		0.01729		0.00778		0.04423				0.00475	0.00399	0.01102	0.03306	0.01816		0.04267	0.00671				0.00781						0.00956	0.00317					
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis			0.08604	0.14296		0.77537	0.39708				0.22103	1.73917	0.04062	2.59855	0.14555		0.01850			0.03312	7.76520	7.41529	4.13925	1.42411		0.82629	0.23998	0.30886	0.12865	0.93263		0.39444	1.65900								0.05909	0.02097					0.06019	0.07925	4.26916			0.57764			1.56211	0.45324	0.64455	2.94392		0.41279	6.74923	1.14959		2.99920	18.50441	4.78879						5.67823							0.10486			2.35389	0.02805				6.00448	0.10683					0.77541	0.05682		1.14246	0.04827	5.36436	0.77186				0.62490	1.76509				1.92764		1.05043		3.10379	1.75317						0.76003	0.57753	0.34187	0.48314			0.10501	0.00630		0.20481	1.57028			5.93531	0.06505	1.18611	4.06920	0.27359	1.39521	0.11889						1.18755	0.58222			0.02636		0.18118	0.45721						7.07311	1.78073	1.22106								1.00740								0.49903	2.12755					0.31448	4.43333	3.98109	4.56047				3.71539				3.26005						4.55093				1.16467		0.14116	6.02086			1.53577	1.03837						0.34543	1.14399	0.82406			7.54640	0.25020			0.05378								1.44384								4.47245					1.70714						4.08214	0.52987						4.88413					5.84691							0.50879	2.37702				0.09557	0.01410	1.94652		0.39055				0.47333		2.43346	6.61070	0.49708		9.70018				0.76035						0.00154					1.53069	1.33314	0.11948			0.55332	1.08500						0.09462	5.98358			2.79526															2.75939													1.98456		0.00492		2.11551	4.01464			3.10091	0.73678			1.85108						8.31463						5.95240	0.41010	0.09967				1.55509	0.50908		7.12919	2.29033			9.69793				10.26226	0.26410	0.33245		2.06655				0.01097														0.17846	0.23731	0.86248	0.02751	0.32060					0.31670		0.57296		2.34134	8.30569	0.29355				0.96899					0.12673									30.73266	0.52682	6.90547		1.33376			10.37534	3.49710	0.96245	0.08027		1.95585	0.57525	5.98896	10.11301	0.42703		2.81010		1.68122	0.76905	0.71892				4.79307	6.67583	2.30748	1.76087	0.19253	0.42325								0.73567				0.26417		0.54004	0.98638	9.21369	12.74211														0.00959	0.04770				3.55290																6.23592		2.44849			0.11243		0.76869	0.67203	1.99379		1.83155	1.77356											2.61770		19.97843	17.51115	0.52026									0.33308			0.07289	2.40448	0.44341		25.41265	3.74609		9.91083	2.74633		4.15806	18.40480			0.05331	0.91342	4.72650							0.00965						3.77405							17.06566				5.51133							14.72193	0.03824			0.04606				4.74922						0.31912		1.33430				0.77420									8.00043	2.88981						6.36038		2.54817				0.49294			0.35840			3.22090		10.63803	6.53510														1.03816								0.13766											5.53703	0.80764							0.32838	0.22706				0.06883		1.18927									0.21678			0.09047					14.12289	1.51536	0.42471		0.00166	7.76896	0.84901			0.39711	0.49126	0.32849	0.93390	4.00482	4.85751		2.45361	3.27649			0.16221	0.04667			2.17191				0.05714	4.85387	0.59096		0.87455	11.33535	1.07088	30.95535										1.36329	1.60530						6.41619	1.84859	4.43251		0.66494	0.54748	1.11409		8.54864	48.07647	45.63571	30.60124					3.53292	0.44321	9.92961	24.05982	2.44605		0.00654	0.68886	2.37274			0.07862	0.00537	2.75923		0.82096	0.06063				0.95335	0.03521		0.06560	3.17379	0.17730	0.46249	0.25150			12.67333		1.41105				2.70709						5.68430	1.33711	7.93891		17.60327	21.52831	0.39975	0.06192	0.34494				0.03087	4.52985			2.58700				21.62046						3.70504					20.31188			1.81556	16.57356													0.57434			8.64458	0.95269	3.75397	20.68074	5.65270		1.08417			13.15211					0.74125					1.59890	9.45550				0.16934			17.75352			0.00512											6.98276	9.10379	1.33414	5.05244	3.38626						9.77290	12.63554	3.57427									5.76693													4.59614	7.76327	10.73977			0.25446				4.67029	0.11606	0.05606	0.40394				0.36901	0.86560	0.01066	0.14710			2.41771			4.58296					0.14989	0.13611		0.03033	10.73010	0.02576	0.09441				21.48201					5.96220		1.68682			0.40659	0.32204		0.22341	1.39491		1.70540						0.52478	0.22758	0.88486	0.00306	2.60384	0.09627		0.09214	0.40859		37.60107				0.18863		0.13981			8.86091	1.10969		6.86968	12.72461	0.98202		11.09120	18.27577					20.08212			5.19370	14.03766			0.00688		0.49327	12.96142	14.54216		15.39802	28.35878				1.32313									15.95699	1.58058	0.05469				6.12656	0.86286		6.46315	9.99327	0.15726		5.51542						0.18419							9.82748											2.63842	1.61771	7.32861	0.02364		0.00449									1.15350						2.38564	1.23571					
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium angulatum				0.97482								0.09654		0.87697																																												2.32642	0.00420	1.24422																																				0.07269																																																																																0.00662																																																																																																				0.76266																																																																																																																																																																																																																																																																																																																																																															0.93006																																																																																																																										0.65338	0.04839														3.44516										0.34862	0.26475																															0.44212							1.66892																										1.12700																				0.05269																																					0.03371																																																																																														0.32881																																																																																																																																																															
